resist|抵抗
resolve|解决；决心
resort|度假胜地；诉诸
retain|保留
reveal|揭示
revolution|革命
reward|奖励
rhythm|节奏
rid|使摆脱
root|根；根源
round|圆形的；回合
routine|常规
rub|摩擦
rubber|橡胶；橡皮
rural|农村的
rush|匆忙
sample|样本
satellite|卫星
satisfied|满意的
satisfy|使满意
saving|储蓄；节省
scale|规模；刻度
schedule|日程安排
scheme|计划；方案
scream|尖叫
screen|屏幕；筛查
seat|座位
sector|部门；领域
secure|安全的；获得
seek|寻找
select|选择
selection|选择；选集
self|自我
senior|高级的；年长的
sense|感觉；意义
sensitive|敏感的
sentence|句子；判决
sequence|顺序
session|会议；一节课
settle|解决；定居
severe|严重的
shade|阴影；色调
shadow|影子
shallow|浅的
shame|羞耻
shape|形状；塑造
shelter|庇护所
shift|转变；轮班
ship|船；运输
shock|震惊；冲击
shocked|震惊的
shooting|枪击；拍摄
shot|射击；镜头
significant|重要的
significantly|显著地
silence|沉默
silk|丝绸
sincere|真诚的
slave|奴隶
slide|滑动；幻灯片
slight|轻微的
slip|滑倒；小错误
slope|斜坡
solar|太阳的
somewhat|有点
soul|灵魂
specialist|专家
species|物种
speed|速度
spiritual|精神的
split|分裂；分开
sponsor|赞助者；赞助
spot|地点；斑点
spread|传播；展开
stable|稳定的
stage|阶段；舞台
stand|站立；忍受
stare|盯着看
status|地位；状态
steady|稳定的
steel|钢
steep|陡峭的
step|步骤；脚步
sticky|黏的
stiff|僵硬的
stock|库存；股票
stream|小河；流
stretch|伸展；延伸
strict|严格的
strike|罢工；撞击
structure|结构
struggle|挣扎；奋斗
stuff|东西；材料
subject|主题；科目
submit|提交
sum|总数；金额
surgery|手术
surround|围绕
surrounding|周围的
survey|调查
suspect|怀疑；嫌疑人
swear|发誓；咒骂
sweep|打扫；席卷
switch|转换；开关
sympathy|同情
tale|故事
tank|坦克；水箱
target|目标
tear|眼泪；撕裂
temporary|暂时的
term|术语；期限
therapy|治疗
threat|威胁
threaten|威胁
thus|因此
title|标题；头衔
tone|语气；音调
tough|艰难的；强硬的
track|轨道；追踪
transfer|转移；转让
transform|转变
transition|过渡
trial|试验；审判
trip|旅行；绊倒
tropical|热带的
trouble|麻烦
truly|真正地
trust|信任
try|尝试
tune|曲调；调音
tunnel|隧道
ultimately|最终
unconscious|昏迷的；无意识的
unexpected|意外的
unique|独特的
universe|宇宙
unknown|未知的
upper|上面的
upwards|向上
urban|城市的
urge|敦促；强烈欲望
value|价值；重视
vary|变化
vast|巨大的
venue|场地
very|非常；正是
via|通过
victory|胜利
violence|暴力
virtual|虚拟的；几乎
vision|视力；愿景
visual|视觉的
vital|至关重要的
vitamin|维生素
volume|体积；音量
wage|工资
way|方法；道路
weakness|弱点
wealth|财富
wealthy|富有的
whereas|然而
wherever|无论哪里
whisper|低语
whom|谁（宾格）
widely|广泛地
wildlife|野生动物
willing|愿意的
wind|风；缠绕
wire|电线
wise|明智的
witness|目击者；见证
worse|更糟的
worst|最糟的
worth|值得；价值
wound|伤口；使受伤
wrap|包裹
wrong|错误的
yet|还；然而
zone|区域
