joint|联合的；关节
journalism|新闻业
jury|陪审团
kit|成套工具
ladder|梯子
landing|着陆；登陆
lane|车道；小路
lately|最近
leaflet|传单
legend|传说；传奇人物
lens|镜头；透镜
lifetime|一生；终身
lighting|照明
likewise|同样地
limitation|限制
literally|按字面地；确实
literary|文学的
litre|升
litter|垃圾；乱扔
logo|标志
lottery|彩票
loyal|忠诚的
lyric|歌词；抒情的
magnificent|壮丽的
make-up|化妆品；组成
making|制作；形成
manufacture|制造
manufacturing|制造业
marathon|马拉松
margin|边缘；利润
marker|标记；记号笔
martial|战争的；武术的
mate|伙伴；同伴
mayor|市长
mechanic|机械师
mechanical|机械的
mechanism|机制；机械装置
medal|奖牌
medication|药物治疗；药
membership|会员资格
memorable|难忘的
metaphor|隐喻；比喻
miner|矿工
miserable|痛苦的；悲惨的
mode|模式；方式
modest|谦虚的；适度的
monster|怪物
monthly|每月的；每月地
monument|纪念碑
moreover|此外
mortgage|抵押贷款
mosque|清真寺
motion|运动；提议
motivate|激励
motivation|动力；动机
moving|感人的；移动的
myth|神话
naked|裸体的；无遮盖的
nasty|令人不快的；恶毒的
navigation|导航
nearby|附近的；在附近
necessity|必需品；必要性
negotiate|谈判
negotiation|谈判
neutral|中立的
newly|最近；新近
norm|常态；规范
notebook|笔记本
novelist|小说家
nowadays|如今
nursing|护理
nutrition|营养
obesity|肥胖
observer|观察者
obstacle|障碍
occupation|职业；占领
occupy|占据；占领
offender|罪犯；违法者
ongoing|持续的
openly|公开地
opera|歌剧
operator|操作员；运营商
optimistic|乐观的
orchestra|管弦乐队
organic|有机的
outfit|全套服装；配备
output|产量；输出
outstanding|杰出的
overcome|克服
overnight|一夜之间；过夜的
overseas|海外的
ownership|所有权
oxygen|氧气
packet|小包；数据包
palm|手掌；棕榈树
panic|恐慌
parade|游行
parallel|平行的；类似的
participation|参与
partnership|合作关系
part-time|兼职的
passionate|热情的
password|密码
patience|耐心
pause|暂停
peer|同龄人；同伴
penalty|惩罚；罚款
perceive|察觉；认为
perception|感知；看法
permanently|永久地
pill|药丸
pity|遗憾；同情
placement|安置；实习岗位
portion|部分；一份
potentially|可能地
precede|先于
precious|宝贵的
precise|精确的
precisely|精确地；正是
predictable|可预测的
preference|偏爱
pride|自豪
primarily|主要地
principal|校长；主要的
prior|先前的；优先的
probability|可能性；概率
probable|很可能的
proceed|继续进行
programming|编程；节目安排
progressive|进步的；逐步的
prohibit|禁止
promising|有希望的
promotion|晋升；促销
prompt|促使；提示
proportion|比例；部分
protein|蛋白质
protester|抗议者
psychological|心理的
publicity|宣传；公众关注
publishing|出版业
punk|朋克
purely|纯粹地
pursuit|追求
puzzle|谜；难题
questionnaire|问卷
racial|种族的
racism|种族主义
racist|种族主义者；种族主义的
radiation|辐射
rail|铁轨；栏杆
random|随机的
rat|老鼠
rating|评分；等级
reasonably|合理地；相当地
rebuild|重建
receiver|接收器；听筒
recession|经济衰退
reckon|认为；估算
recognition|认可；识别
recovery|恢复
recruit|招募；新成员
recruitment|招聘
referee|裁判
refugee|难民
registration|登记；注册
regulate|管理；调节
reinforce|加强
relieve|缓解
relieved|放心的
remarkable|非凡的
remarkably|非常；显著地
reporting|报道；报告
resign|辞职
resolution|决心；解决方案
restore|恢复；修复
restrict|限制
restriction|限制
retail|零售
retirement|退休
revenue|收入
