ability|能力；才能
able|能够的；有能力的
abroad|在国外；到国外
accept|接受；同意
accident|事故；意外
according to|根据；按照
achieve|实现；达到
act|行动；表演
active|活跃的；积极的
actually|实际上；事实上
adult|成年人；成年的
advantage|优势；有利条件
adventure|冒险；奇遇
advertise|做广告；宣传
advertisement|广告
advertising|广告业；广告活动
affect|影响
after|在...之后；之后
against|反对；倚着
ah|啊
airline|航空公司
alive|活着的；有活力的
all|全部；所有的
all right|好的；没问题
allow|允许
almost|几乎；差不多
alone|单独的；独自
along|沿着；向前
already|已经
alternative|替代的；选择
although|虽然；尽管
among|在...之中
amount|数量；总额
ancient|古代的；古老的
ankle|脚踝
any|任何的；一些
anybody|任何人
any more|不再；再
anyway|无论如何
anywhere|任何地方
app|应用程序
appear|出现；似乎
appearance|外貌；出现
apply|申请；应用
architect|建筑师
architecture|建筑；建筑学
argue|争论；主张
argument|争论；论点
army|军队
arrange|安排；整理
arrangement|安排；布置
as|像；作为；当...时
asleep|睡着的
assistant|助手；助理
athlete|运动员
attack|攻击；袭击
attend|参加；出席
attention|注意；关注
attractive|有吸引力的
audience|观众；听众
author|作者
available|可获得的；有空的
average|平均的；平均数
avoid|避免
award|奖；授予
awful|糟糕的；可怕的
back|背部；回来；后面的
background|背景；经历
badly|严重地；差
bar|酒吧；条
baseball|棒球
based|基于...的
basketball|篮球
bean|豆；豆子
bear|熊；忍受
beat|打败；敲打
beef|牛肉
before|在...以前；以前
behave|表现；守规矩
behaviour|行为
belong|属于
belt|腰带；传送带
benefit|好处；受益
best|最好的；最好地
better|更好的；更好地
between|在...之间
billion|十亿
bin|垃圾箱
biology|生物学
birth|出生
biscuit|饼干
bit|一点；小块
blank|空白的；空白处
blood|血液
blow|吹；打击
board|板；委员会
boil|煮沸；沸腾
bone|骨头
book|书；预订
borrow|借入
boss|老板；上司
bottom|底部；末尾
bowl|碗
brain|大脑；头脑
bridge|桥
bright|明亮的；聪明的
brilliant|极好的；聪明的
broken|坏的；破碎的
brush|刷子；刷
burn|燃烧；烧伤
businessman|商人；男企业家
button|按钮；纽扣
camp|营地；露营
camping|露营
can|能够；罐头
care|关心；照顾
careful|小心的；仔细的
carefully|小心地；仔细地
carpet|地毯
cartoon|动画片；漫画
case|情况；案例；箱子
cash|现金
castle|城堡
catch|抓住；赶上
cause|原因；导致
celebrate|庆祝
celebrity|名人
certain|确定的；某个
certainly|当然；肯定
chance|机会；可能性
character|角色；性格；人物
charity|慈善；慈善机构
chat|聊天
check|检查；核对
chef|厨师
chemistry|化学
chip|炸薯条；芯片
choice|选择
church|教堂
cigarette|香烟
circle|圆圈；圈出
classical|古典的
clear|清楚的；清除
clearly|清楚地
clever|聪明的
climate|气候
close|关闭；接近的
closed|关闭的；停业的
clothing|衣服
cloud|云
coach|教练；长途汽车
coast|海岸
code|代码；密码
colleague|同事
collect|收集；领取
column|栏；柱
comedy|喜剧
comfortable|舒服的
comment|评论；意见
communicate|交流；传达
community|社区；群体
compete|竞争；比赛
competition|比赛；竞争
complain|抱怨；投诉
completely|完全地
condition|状况；条件
conference|会议
