absolutely|绝对地；完全地
academic|学术的
access|进入；使用权
accommodation|住宿
account|账户；说明
achievement|成就
act|行动；表演
ad|广告
addition|增加；加法
admire|钦佩
admit|承认；准许进入
advanced|高级的；先进的
advise|建议
afford|负担得起
age|年龄；时代
aged|年老的；...岁的
agent|代理人；经纪人
agreement|协议；同意
ahead|向前；在前面
aim|目标；旨在
alarm|警报；惊慌
album|相册；专辑
alcohol|酒精
alcoholic|含酒精的；酗酒者
alternative|可替代的；选择
amazed|惊讶的
ambition|雄心；抱负
ambitious|有雄心的
analyse|分析
analysis|分析
announce|宣布
announcement|公告；宣布
annoy|使恼怒
annoyed|恼怒的
annoying|令人恼火的
apart|分开
apologize|道歉
application|申请；应用程序
appointment|预约；任命
appreciate|感激；欣赏
approximately|大约
arrest|逮捕
arrival|到达
assignment|作业；任务
assist|帮助
atmosphere|气氛；大气
attach|附上；连接
attitude|态度
attract|吸引
attraction|吸引力；景点
authority|权力；官方机构
average|平均的；平均数
award|奖项；授予
aware|意识到的
backwards|向后
bake|烘烤
balance|平衡
ban|禁止；禁令
bank|银行；岸
base|基础；以...为基础
basic|基本的
basis|基础；依据
battery|电池
battle|战斗
beauty|美；美人
bee|蜜蜂
belief|信念
bell|铃；钟
bend|弯曲
benefit|好处；受益
better|更好的
bite|咬
block|街区；阻挡
board|木板；董事会
bomb|炸弹
border|边界
bother|打扰；烦恼
branch|树枝；分支
brand|品牌
brave|勇敢的
breath|呼吸；一口气
breathe|呼吸
breathing|呼吸
bride|新娘
bubble|气泡
bury|埋葬；埋藏
by|通过；在...旁边
calm|平静的；使平静
campaign|活动；运动
campus|校园
candidate|候选人
cap|帽子；盖子
captain|队长；船长
careless|粗心的
category|类别
ceiling|天花板
celebration|庆祝
central|中心的；主要的
centre|中心
ceremony|仪式
chain|链条；连锁
challenge|挑战
champion|冠军
channel|频道；渠道
chapter|章节
charge|收费；指控；充电
cheap|便宜的
cheat|作弊；欺骗
cheerful|快乐的
chemical|化学的；化学品
chest|胸部；箱子
childhood|童年
claim|声称；要求
clause|从句；条款
clear|清楚的；清除
click|点击
client|客户
climb|攀登
close|关闭；亲密的
cloth|布
clue|线索
coach|教练；长途汽车
coal|煤
coin|硬币
collection|收藏；收集
coloured|有颜色的
combine|结合
comment|评论
commercial|商业的；广告
commit|承诺；犯（罪）
communication|交流
comparison|比较
competitor|竞争者
competitive|竞争的；有竞争力的
complaint|投诉；抱怨
complex|复杂的
concentrate|集中注意力
conclude|总结；得出结论
conclusion|结论
confident|自信的
confirm|确认
confuse|使困惑
confused|困惑的
connection|联系；连接
consequence|后果
consist|由...组成
consume|消耗；消费
consumer|消费者
contact|联系
container|容器
content|内容；满意的
continuous|连续的
contrast|对比
convenient|方便的
convince|说服
cool|凉爽的；酷的
costume|服装
cottage|小屋
cotton|棉花
count|数数；重要
countryside|乡村
court|法院；球场
cover|覆盖；封面
covered|被覆盖的
cream|奶油；乳霜
criminal|罪犯；犯罪的
cruel|残忍的
cultural|文化的
currency|货币
current|当前的；水流
currently|目前
curtain|窗帘
custom|习俗
cut|切；削减
daily|每日的
damage|损害
deal|交易；处理
decade|十年
decorate|装饰
deep|深的
define|定义
definite|明确的
definition|定义
deliver|递送；发表
departure|离开；出发
despite|尽管
destination|目的地
determine|决定；查明
determined|坚定的
development|发展
diagram|图表
diamond|钻石
difficulty|困难
direct|直接的；指导
directly|直接地
dirt|泥土；污垢
disadvantage|缺点
disappointed|失望的
disappointing|令人失望的
discount|折扣
dislike|不喜欢
divide|分开；除以
documentary|纪录片
donate|捐赠
double|双倍的
doubt|怀疑
dressed|穿着衣服的
drop|掉落；下降
drum|鼓
drunk|醉的
due|到期的；由于
dust|灰尘
duty|责任；职责
earthquake|地震
eastern|东方的；东部的
economic|经济的
economy|经济
