investigation|调查
investment|投资
issue|问题；发行
joy|快乐
judgement|判断
junior|初级的；年少的
justice|公正；司法
justify|证明...合理
labour|劳动
landscape|风景；景观
largely|主要地
latest|最新的
launch|发起；发布
leadership|领导力
league|联盟；联赛
lean|倾斜；倚靠
leave|离开；假期
level|水平；等级
licence|许可证
limited|有限的
line|线；排
lively|活泼的
load|负载；装载
loan|贷款
logical|合乎逻辑的
long-term|长期的
loose|松的
lord|领主；上帝
low|低的
lower|降低；较低的
lung|肺
maintain|维持
majority|大多数
make|制作；使
map|地图
mass|大量；群众
massive|巨大的
master|掌握；大师
matching|匹配的
material|材料；物质
maximum|最大的
means|方法；手段
measurement|测量；尺寸
medium|中等的；媒介
melt|融化
military|军事的
mineral|矿物
minimum|最小的
minister|部长；牧师
minor|较小的；未成年人
minority|少数
mission|任务；使命
mistake|错误
mixed|混合的
model|模型；模特
modify|修改
monitor|监控；显示器
moral|道德的
motor|发动机
mount|安装；登上
multiple|多个的
multiply|乘；繁殖
mysterious|神秘的
narrow|狭窄的
national|国家的
neat|整洁的
negative|消极的；负面的
nerve|神经；勇气
nevertheless|然而
nightmare|噩梦
notion|概念；看法
numerous|许多的
obey|服从
object|物体；反对
objective|目标；客观的
obligation|义务
observation|观察
observe|观察；遵守
obtain|获得
occasionally|偶尔
offence|冒犯；违法行为
offend|冒犯
offensive|冒犯的；进攻的
official|官方的；官员
opening|开始；空缺
operate|操作；运转
opponent|对手
oppose|反对
opposed|反对的
outcome|结果
outer|外部的
outline|概述；轮廓
overall|总体的
owe|欠
pace|速度；步伐
package|包裹；包装
panel|专家小组；面板
parliament|议会
partly|部分地
passage|文章；通道
patient|病人；耐心的
pension|养老金
permanent|永久的
permit|允许；许可证
perspective|观点；视角
phase|阶段
phenomenon|现象
philosophy|哲学
pick|挑选
picture|图片；描绘
pile|堆
pitch|场地；音高
plain|简单的；平原
plot|情节；阴谋
plus|加；另外
pointed|尖的；明确的
popularity|受欢迎
pose|摆姿势；造成
position|位置；职位
positive|积极的；阳性的
possess|拥有
potential|潜在的；潜力
power|力量；电力
praise|表扬
pregnant|怀孕的
preparation|准备
presence|存在；出席
preserve|保护；保存
price|价格；给...定价
prime|主要的；最佳的
principle|原则
print|打印；印刷品
priority|优先事项
privacy|隐私
procedure|程序；手续
process|过程；处理
produce|生产；农产品
professional|专业的
progress|进步
project|项目；投射
proof|证据
proposal|提议
propose|提议；求婚
prospect|前景
protection|保护
psychologist|心理学家
psychology|心理学
publication|出版物
pupil|学生；瞳孔
purchase|购买
pure|纯的
pursue|追求
range|范围
rank|排名；等级
rapid|快速的
rapidly|快速地
rate|比率；评价
raw|生的；原始的
reach|到达；伸手
realistic|现实的
reasonable|合理的
recall|回忆起
recover|恢复
reduction|减少
regard|认为；尊重
regional|地区的
register|登记；注册
regret|后悔
regulation|规定
relatively|相对地
relevant|相关的
relief|缓解；救济
rely|依靠
remark|评论
representative|代表
reputation|名声
requirement|要求
rescue|营救
reserve|保留；储备
resident|居民
